"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AVID","Avid Technology, Inc.","8.06","$352.2M","1993","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/avid",
"RNA","Avidity Biosciences, Inc.","27.45","$970.38M","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/rna",
"AVGR","Avinger, Inc.","0.434","$22.28M","2015","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/avgr",
"CAR","Avis Budget Group, Inc.","27.46","$1.91B","n/a","Consumer Services","Rental/Leasing Companies","https://old.nasdaq.com/symbol/car",
"RCEL","Avita Therapeutics, Inc.","22.39","$2.39B","n/a","Capital Goods","Miscellaneous","https://old.nasdaq.com/symbol/rcel",
"AVT","Avnet, Inc.","26.68","$2.63B","n/a","Technology","Electronic Components","https://old.nasdaq.com/symbol/avt",
"AVRO","AVROBIO, Inc.","17.79","$641.07M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/avro",
"AWRE","Aware, Inc.","3.05","$65.64M","1996","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/awre",
"ACLS","Axcelis Technologies, Inc.","28.4","$933.65M","2000","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acls",
"AXLA","Axcella Health Inc.","4.51","$161.63M","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/axla",
"AXGN","AxoGen, Inc.","11.31","$449.71M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/axgn",
"AAXN","Axon Enterprise, Inc.","84.89","$5.37B","n/a","Capital Goods","Ordnance And Accessories","https://old.nasdaq.com/symbol/aaxn",
"AXNX","Axonics Modulation Technologies, Inc.","42.81","$1.67B","2018","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/axnx",
"AXGT","Axovant Gene Therapies Ltd.","2.98","$120.2M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/axgt",
"AXSM","Axsome Therapeutics, Inc.","74.27","$2.75B","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/axsm",
"AXTI","AXT Inc","4.675","$190.95M","1998","Technology","Semiconductors","https://old.nasdaq.com/symbol/axti",
